cms_certification_number,months_removed,months_kept,all_removed
38E040,63,24,False
395031,80,19,False
395228,97,2,False
395276,60,36,False
395279,81,12,False
395285,76,20,False
395316,97,2,False
395333,63,36,False
395355,10,86,False
395387,61,32,False
395421,25,71,False
395448,75,12,False
395571,69,30,False
395741,56,1,False
395749,69,27,False
395754,29,7,False
395861,78,9,False
395869,19,20,False
395889,3,0,True
395890,88,2,False
395894,97,2,False
395925,45,0,True
395926,89,1,False
395933,9,0,True
395941,97,2,False
395951,78,15,False
395966,97,2,False
395987,4,5,False
395990,27,0,True
396001,29,40,False
396002,85,2,False
396040,3,0,True
396098,97,2,False
396102,91,2,False
396109,94,2,False
396121,6,0,True
396134,20,46,False
396135,83,13,False
396136,24,0,True
405000,3,21,False
405018,79,2,False
405023,85,2,False
405025,68,1,False
425004,1,98,False
425061,35,64,False
425075,7,80,False
425080,50,49,False
425103,82,2,False
425173,35,61,False
425340,6,0,True
425346,7,2,False
425353,38,1,False
425369,24,0,True
425383,35,1,False
425384,97,2,False
425388,94,2,False
425405,30,0,True
435029,45,51,False
435032,44,13,False
435034,72,21,False
435042,97,2,False
435056,41,58,False
435066,91,2,False
435072,88,2,False
435102,56,40,False
435107,29,70,False
435112,67,29,False
435120,94,2,False
435135,25,2,False
43A038,89,4,False
43A067,42,0,True
43A072,81,18,False
43A098,91,8,False
43A113,55,44,False
43A137,12,69,False
445008,59,40,False
445071,36,60,False
445077,30,69,False
445115,94,2,False
445129,60,9,False
445222,83,1,False
445264,49,50,False
445277,35,49,False
445328,91,2,False
445356,21,75,False
445372,47,46,False
445404,91,2,False
445420,3,0,True
445521,68,25,False
44E132,93,3,False
455069,66,33,False
455611,11,79,False
455637,60,33,False
455683,49,5,False
455691,60,15,False
455736,9,0,True
455770,26,4,False
455805,9,0,True
455848,3,0,True
455869,13,83,False
455957,14,85,False
455968,13,86,False
455981,53,1,False
45E761,15,78,False
45F411,64,29,False
45F414,11,43,False
465003,58,38,False
465006,28,71,False
465062,32,1,False
465066,23,76,False
465067,10,89,False
465069,19,80,False
465074,23,76,False
465075,40,59,False
465084,26,67,False
465093,23,76,False
465123,70,2,False
465140,15,0,True
465146,22,77,False
465156,30,69,False
465183,26,73,False
465185,22,74,False
465187,88,2,False
465191,36,15,False
46A066,15,81,False
46A069,9,36,False
46A072,13,83,False
475045,27,69,False
475058,14,76,False
495046,62,31,False
495112,59,40,False
495113,43,35,False
