cms_certification_number,num_chows_lite,num_chows_mcr,lite_dates,mcr_dates,first_lite_date,first_mcr_date,last_lite_date,last_mcr_date,n_common_exact,n_common_within_1m,match_type,discrepancy_flag,delta_first_months,within_0m,within_1m,jaccard_months,only_in_lite_dates,only_in_mcr_dates
035158,1,0,2019-01,,2019-01,,2019-01,,0,0,only_lite,1,,False,False,0.0,2019-01,
035164,1,1,2017-06,2017-09,2017-06,2017-09,2017-06,2017-09,0,0,both_yes_different_months,1,-3.0,False,False,0.0,2017-06,2017-09
035166,2,0,2019-04|2021-11,,2019-04,,2021-11,,0,0,only_lite,1,,False,False,0.0,2019-04|2021-11,
035171,1,1,2019-02,2019-04,2019-02,2019-04,2019-02,2019-04,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2019-02,2019-04
035175,1,1,2022-06,2022-05,2022-06,2022-05,2022-06,2022-05,0,1,both_yes_different_months,1,1.0,False,True,0.0,2022-06,2022-05
035183,1,1,2019-02,2019-04,2019-02,2019-04,2019-02,2019-04,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2019-02,2019-04
035193,1,0,2017-03,,2017-03,,2017-03,,0,0,only_lite,1,,False,False,0.0,2017-03,
035196,3,2,2018-11|2019-04|2023-09,2018-11|2023-09,2018-11,2018-11,2023-09,2023-09,2,2,both_yes_different_months,1,0.0,True,True,0.6666666666666666,2019-04,
035199,1,0,2017-03,,2017-03,,2017-03,,0,0,only_lite,1,,False,False,0.0,2017-03,
035201,3,1,2017-03|2018-12|2020-01,2020-01,2017-03,2020-01,2020-01,2020-01,1,1,both_yes_different_months,1,-34.0,True,True,0.3333333333333333,2017-03|2018-12,
035207,1,0,2017-03,,2017-03,,2017-03,,0,0,only_lite,1,,False,False,0.0,2017-03,
035217,2,1,2018-02|2023-09,2018-02,2018-02,2018-02,2023-09,2018-02,1,1,both_yes_different_months,1,0.0,True,True,0.5,2023-09,
035225,3,1,2018-11|2019-04|2023-09,2023-09,2018-11,2023-09,2023-09,2023-09,1,1,both_yes_different_months,1,-58.0,True,True,0.3333333333333333,2018-11|2019-04,
035240,1,0,2017-06,,2017-06,,2017-06,,0,0,only_lite,1,,False,False,0.0,2017-06,
035244,1,0,2019-01,,2019-01,,2019-01,,0,0,only_lite,1,,False,False,0.0,2019-01,
035249,1,0,2017-02,,2017-02,,2017-02,,0,0,only_lite,1,,False,False,0.0,2017-02,
035251,2,1,2019-09|2024-02,2019-11,2019-09,2019-11,2024-02,2019-11,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2019-09|2024-02,2019-11
035255,2,1,2023-03|2024-04,2023-03,2023-03,2023-03,2024-04,2023-03,1,1,both_yes_different_months,1,0.0,True,True,0.5,2024-04,
035256,3,0,2018-04|2020-07,,2018-04,,2020-07,,0,0,only_lite,1,,False,False,0.0,2018-04|2020-07,
035257,1,0,2024-01,,2024-01,,2024-01,,0,0,only_lite,1,,False,False,0.0,2024-01,
035259,0,1,,2020-01,,2020-01,,2020-01,0,0,only_mcr,1,,False,False,0.0,,2020-01
035260,2,1,2021-12|2022-04,2021-09,2021-12,2021-09,2022-04,2021-09,0,0,both_yes_different_months,1,3.0,False,False,0.0,2021-12|2022-04,2021-09
035262,1,0,2017-02,,2017-02,,2017-02,,0,0,only_lite,1,,False,False,0.0,2017-02,
035265,0,1,,2018-12,,2018-12,,2018-12,0,0,only_mcr,1,,False,False,0.0,,2018-12
035266,2,0,2018-07|2021-01,,2018-07,,2021-01,,0,0,only_lite,1,,False,False,0.0,2018-07|2021-01,
035268,1,0,2021-01,,2021-01,,2021-01,,0,0,only_lite,1,,False,False,0.0,2021-01,
035270,3,2,2018-11|2019-04|2023-09,2018-11|2023-09,2018-11,2018-11,2023-09,2023-09,2,2,both_yes_different_months,1,0.0,True,True,0.6666666666666666,2019-04,
035274,1,0,2019-03,,2019-03,,2019-03,,0,0,only_lite,1,,False,False,0.0,2019-03,
035275,2,0,2019-09|2021-01,,2019-09,,2021-01,,0,0,only_lite,1,,False,False,0.0,2019-09|2021-01,
035279,2,0,2021-12|2024-11,,2021-12,,2024-11,,0,0,only_lite,1,,False,False,0.0,2021-12|2024-11,
035280,1,0,2022-01,,2022-01,,2022-01,,0,0,only_lite,1,,False,False,0.0,2022-01,
035282,1,0,2022-01,,2022-01,,2022-01,,0,0,only_lite,1,,False,False,0.0,2022-01,
035283,1,0,2022-01,,2022-01,,2022-01,,0,0,only_lite,1,,False,False,0.0,2022-01,
035285,1,0,2024-04,,2024-04,,2024-04,,0,0,only_lite,1,,False,False,0.0,2024-04,
035286,1,0,2022-01,,2022-01,,2022-01,,0,0,only_lite,1,,False,False,0.0,2022-01,
035287,2,0,2018-11|2023-12,,2018-11,,2023-12,,0,0,only_lite,1,,False,False,0.0,2018-11|2023-12,
035290,2,1,2017-07|2023-08,2023-08,2017-07,2023-08,2023-08,2023-08,1,1,both_yes_different_months,1,-73.0,True,True,0.5,2017-07,
035292,3,2,2019-05|2022-07|2023-01,2019-05|2022-06,2019-05,2019-05,2023-01,2022-06,1,2,both_yes_different_months,1,0.0,True,True,0.25,2022-07|2023-01,2022-06
035293,1,0,2018-06,,2018-06,,2018-06,,0,0,only_lite,1,,False,False,0.0,2018-06,
035296,2,0,2020-02|2024-01,,2020-02,,2024-01,,0,0,only_lite,1,,False,False,0.0,2020-02|2024-01,
035297,1,0,2019-08,,2019-08,,2019-08,,0,0,only_lite,1,,False,False,0.0,2019-08,
045070,2,3,2020-12|2022-01,2015-12|2017-12|2020-12,2020-12,2015-12,2022-01,2020-12,1,1,both_yes_different_months,1,60.0,True,True,0.25,2022-01,2015-12|2017-12
045098,2,3,2019-01|2021-04,2016-07|2019-01|2021-04,2019-01,2016-07,2021-04,2021-04,2,2,both_yes_different_months,1,30.0,True,True,0.6666666666666666,,2016-07
045134,1,2,2019-11,2015-11|2020-01,2019-11,2015-11,2019-11,2020-01,0,0,both_yes_different_months,1,48.0,False,False,0.0,2019-11,2015-11|2020-01
