cms_certification_number,num_chows_lite,num_chows_mcr,lite_dates,mcr_dates,first_lite_date,first_mcr_date,last_lite_date,last_mcr_date,n_common_exact,n_common_within_1m,match_type,discrepancy_flag,delta_first_months,within_0m,within_1m,jaccard_months,only_in_lite_dates,only_in_mcr_dates
515142,2,1,2021-10|2023-04,2024-04,2021-10,2024-04,2023-04,2024-04,0,0,both_yes_different_months,1,-30.0,False,False,0.0,2021-10|2023-04,2024-04
515144,1,2,2022-07,2015-04|2022-07,2022-07,2015-04,2022-07,2022-07,1,1,both_yes_different_months,1,87.0,True,True,0.5,,2015-04
515146,2,0,2019-04|2024-03,,2019-04,,2024-03,,0,0,only_lite,1,,False,False,0.0,2019-04|2024-03,
515147,2,0,2019-04|2024-03,,2019-04,,2024-03,,0,0,only_lite,1,,False,False,0.0,2019-04|2024-03,
515151,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
515153,3,1,2018-06|2021-09|2023-04,2023-04,2018-06,2023-04,2023-04,2023-04,1,1,both_yes_different_months,1,-58.0,True,True,0.3333333333333333,2018-06|2021-09,
515155,2,0,2019-04|2020-04,,2019-04,,2020-04,,0,0,only_lite,1,,False,False,0.0,2019-04|2020-04,
515156,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
515159,1,1,2022-07,2022-07,2022-07,2022-07,2022-07,2022-07,1,1,both_yes_same_months,0,0.0,True,True,1.0,,
515160,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
515162,4,1,2017-01|2018-06|2021-09|2023-04,2024-04,2017-01,2024-04,2023-04,2024-04,0,0,both_yes_different_months,1,-87.0,False,False,0.0,2017-01|2018-06|2021-09|2023-04,2024-04
515163,2,0,2021-05|2021-06,,2021-05,,2021-06,,0,0,only_lite,1,,False,False,0.0,2021-05|2021-06,
515164,3,1,2018-06|2021-09|2023-04,2024-04,2018-06,2024-04,2023-04,2024-04,0,0,both_yes_different_months,1,-70.0,False,False,0.0,2018-06|2021-09|2023-04,2024-04
515165,3,1,2018-06|2021-09|2023-04,2024-04,2018-06,2024-04,2023-04,2024-04,0,0,both_yes_different_months,1,-70.0,False,False,0.0,2018-06|2021-09|2023-04,2024-04
515166,3,1,2018-06|2021-09|2023-04,2023-04,2018-06,2023-04,2023-04,2023-04,1,1,both_yes_different_months,1,-58.0,True,True,0.3333333333333333,2018-06|2021-09,
515167,2,0,2019-04|2024-03,,2019-04,,2024-03,,0,0,only_lite,1,,False,False,0.0,2019-04|2024-03,
515168,3,0,2018-06|2021-09|2023-04,,2018-06,,2023-04,,0,0,only_lite,1,,False,False,0.0,2018-06|2021-09|2023-04,
515169,3,0,2019-04|2022-11|2024-03,,2019-04,,2024-03,,0,0,only_lite,1,,False,False,0.0,2019-04|2022-11|2024-03,
515170,3,1,2018-06|2021-09|2023-04,2023-04,2018-06,2023-04,2023-04,2023-04,1,1,both_yes_different_months,1,-58.0,True,True,0.3333333333333333,2018-06|2021-09,
515171,1,1,2023-04,2024-04,2023-04,2024-04,2023-04,2024-04,0,0,both_yes_different_months,1,-12.0,False,False,0.0,2023-04,2024-04
515173,3,0,2018-06|2021-09|2023-04,,2018-06,,2023-04,,0,0,only_lite,1,,False,False,0.0,2018-06|2021-09|2023-04,
515174,2,0,2021-05|2021-06,,2021-05,,2021-06,,0,0,only_lite,1,,False,False,0.0,2021-05|2021-06,
515175,2,0,2019-04|2024-03,,2019-04,,2024-03,,0,0,only_lite,1,,False,False,0.0,2019-04|2024-03,
515176,1,0,2019-04,,2019-04,,2019-04,,0,0,only_lite,1,,False,False,0.0,2019-04,
515177,2,0,2019-04|2024-03,,2019-04,,2024-03,,0,0,only_lite,1,,False,False,0.0,2019-04|2024-03,
515178,2,0,2019-04|2024-03,,2019-04,,2024-03,,0,0,only_lite,1,,False,False,0.0,2019-04|2024-03,
515179,2,0,2019-04|2024-03,,2019-04,,2024-03,,0,0,only_lite,1,,False,False,0.0,2019-04|2024-03,
515180,2,1,2021-09|2023-04,2024-04,2021-09,2024-04,2023-04,2024-04,0,0,both_yes_different_months,1,-31.0,False,False,0.0,2021-09|2023-04,2024-04
515181,1,0,2023-07,,2023-07,,2023-07,,0,0,only_lite,1,,False,False,0.0,2023-07,
515182,2,0,2019-04|2024-03,,2019-04,,2024-03,,0,0,only_lite,1,,False,False,0.0,2019-04|2024-03,
515183,1,0,2019-04,,2019-04,,2019-04,,0,0,only_lite,1,,False,False,0.0,2019-04,
515184,2,0,2023-11|2024-04,,2023-11,,2024-04,,0,0,only_lite,1,,False,False,0.0,2023-11|2024-04,
515185,4,1,2017-04|2017-12|2021-09|2023-04,2023-04,2017-04,2023-04,2023-04,2023-04,1,1,both_yes_different_months,1,-72.0,True,True,0.25,2017-04|2017-12|2021-09,
515186,2,0,2023-09,,2023-09,,2023-09,,0,0,only_lite,1,,False,False,0.0,2023-09,
515187,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
515188,1,0,2022-07,,2022-07,,2022-07,,0,0,only_lite,1,,False,False,0.0,2022-07,
515189,2,1,2018-12|2019-01,2018-06,2018-12,2018-06,2019-01,2018-06,0,0,both_yes_different_months,1,6.0,False,False,0.0,2018-12|2019-01,2018-06
515190,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
515191,1,1,2022-07,2022-07,2022-07,2022-07,2022-07,2022-07,1,1,both_yes_same_months,0,0.0,True,True,1.0,,
515192,2,1,2021-09|2023-04,2023-04,2021-09,2023-04,2023-04,2023-04,1,1,both_yes_different_months,1,-19.0,True,True,0.5,2021-09,
515193,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
515194,2,1,2021-09|2023-04,2023-04,2021-09,2023-04,2023-04,2023-04,1,1,both_yes_different_months,1,-19.0,True,True,0.5,2021-09,
