cms_certification_number,first_month,last_month,months_observed,months_expected,months_missing,has_gaps
015461,2017-01,2025-03,93,99,6,True
015463,2017-01,2025-03,69,99,30,True
015464,2017-01,2025-03,96,99,3,True
015465,2017-01,2025-03,96,99,3,True
015467,2017-01,2025-03,87,99,12,True
015468,2017-01,2025-03,96,99,3,True
015642,2017-01,2017-09,9,9,0,False
01A193,2017-01,2025-03,87,99,12,True
01A208,2017-01,2025-03,96,99,3,True
025010,2017-01,2025-03,93,99,6,True
025015,2017-10,2025-03,24,90,66,True
025018,2017-01,2025-03,87,99,12,True
025019,2017-01,2025-03,48,99,51,True
025020,2017-01,2025-03,93,99,6,True
025021,2017-01,2025-03,99,99,0,False
025024,2018-07,2025-03,54,81,27,True
025025,2017-01,2025-03,99,99,0,False
025026,2019-01,2025-03,15,75,60,True
025027,2017-01,2025-03,96,99,3,True
025028,2017-01,2025-03,60,99,39,True
025030,2022-07,2022-09,3,3,0,False
025031,2017-07,2025-03,45,93,48,True
025032,2017-04,2025-03,90,96,6,True
025034,2017-01,2024-09,36,93,57,True
025035,2021-01,2025-03,27,51,24,True
025036,2017-01,2025-03,99,99,0,False
025037,2017-07,2025-03,66,93,27,True
025038,2022-01,2025-03,39,39,0,False
025039,2020-07,2025-03,54,57,3,True
035003,2017-01,2025-03,93,99,6,True
035004,2017-01,2025-03,99,99,0,False
035014,2017-01,2025-03,99,99,0,False
035016,2017-01,2025-03,99,99,0,False
035059,2017-01,2025-03,96,99,3,True
035062,2017-01,2025-03,75,99,24,True
035064,2017-01,2025-03,93,99,6,True
035068,2017-01,2025-03,96,99,3,True
035070,2017-01,2025-03,99,99,0,False
035071,2017-01,2025-03,99,99,0,False
035072,2017-01,2025-03,99,99,0,False
035073,2017-01,2025-03,99,99,0,False
035074,2017-10,2025-03,90,90,0,False
035076,2017-01,2025-03,99,99,0,False
035083,2017-01,2025-03,99,99,0,False
035084,2017-01,2025-03,96,99,3,True
035085,2017-01,2025-03,93,99,6,True
035086,2017-01,2025-03,96,99,3,True
035087,2017-01,2025-03,99,99,0,False
035088,2017-01,2025-03,99,99,0,False
035090,2017-01,2021-06,54,54,0,False
035091,2017-01,2025-03,96,99,3,True
035092,2017-01,2025-03,99,99,0,False
035093,2017-01,2025-03,96,99,3,True
035094,2017-01,2025-03,93,99,6,True
035095,2017-01,2025-03,99,99,0,False
035096,2017-01,2025-03,96,99,3,True
035097,2017-01,2025-03,96,99,3,True
035099,2017-01,2025-03,99,99,0,False
035100,2017-01,2025-03,99,99,0,False
035101,2017-01,2025-03,99,99,0,False
035103,2017-01,2025-03,99,99,0,False
035105,2017-01,2025-03,99,99,0,False
035106,2017-01,2025-03,99,99,0,False
035107,2017-01,2025-03,96,99,3,True
035110,2017-01,2025-03,93,99,6,True
035111,2017-01,2025-03,99,99,0,False
035112,2017-07,2025-03,93,93,0,False
035114,2017-01,2025-03,99,99,0,False
035116,2017-01,2025-03,96,99,3,True
035117,2017-01,2025-03,99,99,0,False
035118,2017-01,2025-03,96,99,3,True
035120,2017-01,2025-03,99,99,0,False
035121,2017-01,2025-03,99,99,0,False
035125,2017-01,2025-03,99,99,0,False
035126,2017-01,2025-03,99,99,0,False
035127,2017-01,2025-03,99,99,0,False
035130,2017-01,2025-03,93,99,6,True
035131,2017-01,2025-03,99,99,0,False
035132,2017-01,2025-03,99,99,0,False
035133,2017-01,2025-03,99,99,0,False
035134,2017-01,2025-03,96,99,3,True
035135,2017-01,2025-03,99,99,0,False
035136,2017-01,2025-03,99,99,0,False
035137,2017-01,2022-03,60,63,3,True
035139,2017-01,2025-03,96,99,3,True
035140,2017-01,2025-03,99,99,0,False
035141,2017-01,2025-03,99,99,0,False
035143,2017-01,2025-03,96,99,3,True
035144,2017-01,2025-03,99,99,0,False
035145,2017-01,2025-03,96,99,3,True
035146,2017-01,2025-03,99,99,0,False
035147,2017-01,2025-03,87,99,12,True
035151,2017-01,2025-03,99,99,0,False
035152,2017-01,2025-03,96,99,3,True
035154,2017-01,2025-03,99,99,0,False
035158,2017-01,2025-03,99,99,0,False
035159,2017-01,2025-03,99,99,0,False
035160,2017-01,2017-03,3,3,0,False
035164,2017-01,2025-03,96,99,3,True
035165,2017-01,2025-03,96,99,3,True
035166,2017-01,2025-03,99,99,0,False
035169,2017-01,2025-03,99,99,0,False
035171,2017-01,2025-03,99,99,0,False
035172,2017-01,2025-03,96,99,3,True
035173,2017-01,2025-03,90,99,9,True
035174,2017-01,2025-03,99,99,0,False
035175,2017-01,2025-03,96,99,3,True
035176,2017-01,2025-03,90,99,9,True
035180,2017-01,2025-03,96,99,3,True
035183,2017-01,2025-03,99,99,0,False
035189,2017-01,2025-03,99,99,0,False
035190,2017-01,2025-03,99,99,0,False
035192,2017-01,2019-12,30,36,6,True
035193,2017-01,2025-03,96,99,3,True
035196,2017-01,2025-03,99,99,0,False
035197,2017-01,2025-03,96,99,3,True
035199,2017-01,2018-12,24,24,0,False
035201,2017-01,2021-06,54,54,0,False
035205,2017-01,2025-03,99,99,0,False
035207,2017-01,2025-03,96,99,3,True
035214,2017-01,2025-03,99,99,0,False
035216,2017-01,2025-03,99,99,0,False
035217,2017-01,2025-03,93,99,6,True
035225,2017-01,2025-03,99,99,0,False
035231,2018-04,2025-03,84,84,0,False
035232,2017-01,2025-03,99,99,0,False
035233,2017-01,2025-03,96,99,3,True
035234,2017-01,2025-03,87,99,12,True
035240,2017-01,2025-03,96,99,3,True
035241,2017-01,2025-03,99,99,0,False
035242,2017-01,2024-12,78,96,18,True
035243,2017-04,2021-06,48,51,3,True
035244,2017-01,2025-03,99,99,0,False
035245,2017-01,2025-03,99,99,0,False
035247,2017-01,2025-03,99,99,0,False
035249,2017-01,2025-03,96,99,3,True
035250,2017-01,2025-03,99,99,0,False
035251,2017-01,2025-03,99,99,0,False
035253,2017-01,2025-03,99,99,0,False
035254,2017-01,2025-03,96,99,3,True
035255,2017-01,2025-03,99,99,0,False
035256,2017-01,2025-03,93,99,6,True
035257,2017-01,2025-03,96,99,3,True
035258,2018-01,2019-03,12,15,3,True
035259,2017-01,2021-03,51,51,0,False
035260,2017-04,2025-03,93,96,3,True
