cms_certification_number,from_group,to_group,from_start,from_end,to_start,to_end,from_level,to_level,turnover_pct,overlap_pct,method,bucket_code,bucket_label,surname_keep_pct,surname_override,inconclusive,is_chow
045275,1,2,2014-01-02,2014-01-02,2018-10-01,2018-10-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045275,2,3,2018-10-01,2018-10-01,2021-02-19,2021-02-19,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045275,3,4,2021-02-19,2021-02-19,2022-03-31,2022-03-31,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045277,1,2,2002-01-29,2002-01-29,2023-03-31,2023-03-31,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045284,1,2,2015-06-10,2015-06-10,2019-09-01,2019-09-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045284,2,3,2019-09-01,2019-09-01,2022-01-01,2022-01-01,indirect,indirect,85.7,14.3,0,2,80–90,14.3,False,False,True
045287,1,2,2015-01-01,2015-01-01,2017-01-01,2017-01-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045288,1,2,2004-08-01,2004-08-01,2006-10-31,2006-10-31,indirect,direct,80.0,20.0,0,2,80–90,20.0,False,False,False
045288,2,3,2006-10-31,2006-10-31,2011-12-30,2011-12-30,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
045288,3,4,2011-12-30,2011-12-30,2012-08-01,2012-08-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
045288,4,5,2012-08-01,2012-08-01,2017-06-07,2017-06-07,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045288,5,6,2017-06-07,2017-06-07,2021-07-01,2021-07-01,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045289,1,2,2014-09-23,2014-09-23,2014-09-24,2014-11-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045289,2,3,2014-09-24,2014-11-01,2024-12-12,2024-12-12,direct,direct,76.0,24.0,0,3,70–80,24.0,False,False,True
045290,1,2,2006-04-14,2006-04-14,2014-11-12,2014-11-12,direct,partnership,100.0,0.0,0,1,90–100,0.0,False,False,False
045295,1,2,2015-04-01,2015-04-01,2018-07-01,2018-07-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045297,1,2,2001-06-18,2001-06-18,2008-01-01,2008-01-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
045297,2,3,2008-01-01,2008-01-01,2018-11-01,2018-11-01,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045300,1,2,2003-12-31,2003-12-31,2006-12-31,2006-12-31,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045304,1,2,2000-01-25,2000-01-25,2002-01-05,2008-01-01,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045305,1,2,2010-09-01,2010-09-01,2020-07-01,2020-07-01,direct,indirect,71.4,28.6,0,3,70–80,28.6,False,False,True
045305,2,3,2020-07-01,2020-07-01,2022-01-01,2022-01-01,indirect,indirect,57.1,42.9,0,5,50–60,57.1,False,False,True
045306,1,2,2002-07-01,2002-07-01,2016-08-16,2016-08-16,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045306,2,3,2016-08-16,2016-08-16,2021-08-16,2021-08-16,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045313,1,2,2015-04-01,2015-04-01,2018-07-01,2018-07-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045314,1,2,2016-01-01,2016-01-01,2016-10-01,2016-10-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045314,2,3,2016-10-01,2016-10-01,2018-02-01,2018-02-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045315,1,2,2001-06-18,2001-06-18,2008-01-01,2008-01-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
045315,2,3,2008-01-01,2008-01-01,2018-11-01,2018-11-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045315,3,4,2018-11-01,2018-11-01,2021-01-27,2021-01-27,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045318,1,2,1994-01-01,1994-01-01,2021-10-27,2021-10-27,direct,direct,52.1,47.9,0,5,50–60,47.9,False,False,True
045318,2,3,2021-10-27,2021-10-27,2022-06-14,2022-06-14,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045323,1,2,2012-09-01,2012-09-01,2015-01-01,2015-01-01,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045323,2,3,2015-01-01,2015-01-01,2018-07-01,2018-07-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045323,3,4,2018-07-01,2018-07-01,2023-04-01,2023-04-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045326,1,2,2003-07-01,2003-07-01,2007-02-01,2007-02-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045326,2,3,2007-02-01,2007-02-01,2018-07-01,2018-07-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045327,1,2,2007-11-26,2007-11-26,2008-01-01,2008-01-01,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045327,2,3,2008-01-01,2008-01-01,2017-01-01,2017-01-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045334,1,2,2016-06-01,2016-06-01,2019-01-23,2019-01-23,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045334,2,3,2019-01-23,2019-01-23,2021-04-05,2023-01-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045342,1,2,2004-06-02,2004-06-02,2008-01-01,2008-01-01,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
045342,2,3,2008-01-01,2008-01-01,2022-06-01,2022-06-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
045345,1,2,2016-04-01,2016-04-01,2019-01-23,2019-01-23,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
045345,2,3,2019-01-23,2019-01-23,2021-04-05,2023-01-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
