cms_certification_number,num_chows,cnt_bucket0,cnt_bucket1,cnt_bucket2,cnt_bucket3,cnt_bucket4,cnt_bucket5,cnt_bucket6_inconcl,first_seen_month,entered_after_start,present_at_start,chow_date_1,chow_magnitude_1,chow_method_1,chow_inconcl_1,chow_date_2,chow_magnitude_2,chow_method_2,chow_inconcl_2,chow_date_3,chow_magnitude_3,chow_method_3,chow_inconcl_3,chow_date_4,chow_magnitude_4,chow_method_4,chow_inconcl_4,chow_date_5,chow_magnitude_5,chow_method_5,chow_inconcl_5,chow_date_6,chow_magnitude_6,chow_method_6,chow_inconcl_6,chow_date_7,chow_magnitude_7,chow_method_7,chow_inconcl_7,chow_date_8,chow_magnitude_8,chow_method_8,chow_inconcl_8,chow_date_9,chow_magnitude_9,chow_method_9,chow_inconcl_9,chow_date_10,chow_magnitude_10,chow_method_10,chow_inconcl_10,chow_date_11,chow_magnitude_11,chow_method_11,chow_inconcl_11,chow_date_12,chow_magnitude_12,chow_method_12,chow_inconcl_12
015159,2,0,2,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015164,3,0,3,0,0,0,0,0,2008-11-01,False,True,2018-04-01,100.0,1.0,False,2019-12-16,100.0,1.0,False,2023-08-25,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015171,1,0,1,0,0,0,0,0,1994-10-17,False,True,2018-04-30,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015180,1,0,1,0,0,0,0,0,2003-10-09,False,True,2023-11-20,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015184,1,0,1,0,0,0,0,0,2011-01-26,False,True,2022-05-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015189,2,0,2,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015196,2,0,2,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015206,1,0,1,0,0,0,0,0,2009-12-08,False,True,2023-03-24,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015209,2,0,2,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015212,1,0,1,0,0,0,0,0,2005-01-01,False,True,2021-05-21,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015213,1,0,1,0,0,0,0,0,2003-07-20,False,True,2019-10-20,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015220,1,0,1,0,0,0,0,0,2020-02-21,True,False,2020-05-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015222,1,0,1,0,0,0,0,0,2009-12-01,False,True,2017-08-30,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015223,3,0,3,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,2023-03-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015225,1,0,1,0,0,0,0,0,1981-07-01,False,True,2018-07-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015228,3,0,3,0,0,0,0,0,2005-10-01,False,True,2017-12-01,100.0,0.0,False,2019-12-16,100.0,0.0,False,2023-08-25,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015303,3,0,3,0,0,0,0,0,2005-10-01,False,True,2017-12-01,100.0,1.0,False,2019-12-16,100.0,1.0,False,2023-08-25,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015331,1,0,1,0,0,0,0,0,2001-10-20,False,True,2022-10-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015371,1,0,1,0,0,0,0,0,2003-11-25,False,True,2019-01-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015372,1,0,1,0,0,0,0,0,2006-05-27,False,True,2018-05-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015374,1,0,1,0,0,0,0,0,1992-11-09,False,True,2024-10-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015375,1,0,1,0,0,0,0,0,2016-08-25,False,True,2018-08-30,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015376,2,0,2,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015381,1,0,1,0,0,0,0,0,1979-03-02,False,True,2017-05-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015382,2,0,2,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2023-03-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015383,1,0,1,0,0,0,0,0,2007-05-04,False,True,2023-03-24,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015386,1,0,1,0,0,0,0,0,2007-10-23,False,True,2023-03-24,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015390,1,0,1,0,0,0,0,0,2010-01-01,False,True,2021-07-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015392,2,0,2,0,0,0,0,0,2009-02-15,False,True,2019-04-01,100.0,1.0,False,2024-03-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015396,1,0,1,0,0,0,0,0,1989-12-14,False,True,2022-05-13,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015397,2,0,2,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015404,2,0,2,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015406,1,0,1,0,0,0,0,0,1999-07-01,False,True,2024-11-15,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015417,1,0,1,0,0,0,0,0,2008-05-23,False,True,2022-08-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015419,2,0,2,0,0,0,0,0,1987-02-04,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015429,1,0,1,0,0,0,0,0,1999-06-01,False,True,2017-01-28,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015431,1,0,1,0,0,0,0,0,2002-10-08,False,True,2019-09-30,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015433,3,0,3,0,0,0,0,0,2022-01-12,True,False,2023-08-23,100.0,1.0,False,2023-10-31,100.0,1.0,False,2023-11-17,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015434,3,0,3,0,0,0,0,0,1994-05-10,False,True,2021-11-19,100.0,1.0,False,2022-04-04,100.0,1.0,False,2023-03-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015437,1,0,1,0,0,0,0,0,1998-06-18,False,True,2023-03-24,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015447,3,0,3,0,0,0,0,0,2013-10-11,False,True,2017-12-01,100.0,1.0,False,2019-12-16,100.0,1.0,False,2023-08-25,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015452,1,0,1,0,0,0,0,0,2003-11-29,False,True,2022-11-09,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015455,2,0,2,0,0,0,0,0,2005-01-14,False,True,2018-06-01,100.0,1.0,False,2021-10-19,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015458,1,0,1,0,0,0,0,0,2006-10-25,False,True,2021-04-06,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015459,2,0,2,0,0,0,0,0,2014-08-29,False,True,2020-02-01,100.0,1.0,False,2023-02-10,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015460,1,0,1,0,0,0,0,0,2007-05-30,False,True,2017-03-20,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015463,2,0,2,0,0,0,0,0,2012-02-13,False,True,2018-11-06,100.0,1.0,False,2022-10-27,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015467,1,0,1,0,0,0,0,0,2016-03-01,False,True,2023-03-20,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015469,1,0,1,0,0,0,0,0,2019-03-01,True,False,2019-12-16,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025020,2,0,2,0,0,0,0,0,1968-01-01,False,True,2017-01-01,100.0,0.0,False,2023-01-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025025,2,0,2,0,0,0,0,0,2009-07-01,False,True,2024-05-10,100.0,0.0,False,2024-08-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025027,1,0,1,0,0,0,0,0,1993-02-09,False,True,2023-07-10,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025038,1,0,1,0,0,0,0,0,2017-08-17,True,False,2019-01-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025039,1,0,1,0,0,0,0,0,2017-08-17,True,False,2019-01-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035068,1,0,1,0,0,0,0,0,2012-12-07,False,True,2017-06-13,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035071,1,0,1,0,0,0,0,0,2006-01-30,False,True,2019-08-14,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035072,1,0,1,0,0,0,0,0,1991-01-01,False,True,2019-02-28,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035073,1,0,1,0,0,0,0,0,1990-10-23,False,True,2023-02-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035085,1,0,1,0,0,0,0,0,2012-10-31,False,True,2019-07-01,100.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
