cms_certification_number,S2_2_CHOWDATE,chow_order
145371,2020-09-30,2
145372,2022-05-01,1
145376,2019-01-31,1
145387,2022-04-07,1
145404,2022-05-01,1
145413,2015-12-01,1
145415,2019-11-30,1
145415,2023-04-01,2
145416,2019-03-01,1
145422,2019-10-01,1
145426,2022-12-19,1
145431,2016-08-01,1
145433,2018-08-31,1
145447,2023-06-30,1
145449,2017-11-01,1
145452,2023-06-30,1
145456,2023-06-30,1
145457,2021-10-01,1
145468,2020-02-01,1
145473,2022-05-01,1
145479,2019-03-01,1
145484,2019-11-30,1
145497,2023-06-01,1
145502,2020-03-01,1
145507,2016-08-30,1
145508,2019-09-01,1
145510,2015-11-01,1
145510,2023-10-05,2
145511,2021-06-01,1
145523,2017-07-01,1
145524,2022-02-01,1
145536,2020-11-01,1
145546,2023-06-30,1
145555,2018-03-01,1
145571,2019-09-01,1
145593,2023-02-01,1
145601,2020-03-01,1
145603,2018-10-17,1
145604,2021-06-01,1
145607,2023-02-01,1
145608,2018-10-31,1
145612,2021-12-31,1
145619,2019-04-01,1
145623,2022-06-25,1
145625,2019-07-01,1
145625,2023-06-01,2
145628,2018-05-07,1
145630,2020-09-30,1
145632,2016-06-15,1
145634,2015-11-06,1
145638,2021-06-01,1
145639,2021-07-01,1
145640,2020-01-01,1
145646,2020-02-01,1
145646,2023-12-01,2
145647,2020-02-01,1
145647,2023-12-01,2
145651,2020-02-01,1
145657,2022-07-01,1
145660,2021-03-31,1
145661,2015-11-01,1
145661,2023-06-01,2
145662,2019-11-30,1
145665,2015-11-06,1
145669,2019-02-01,1
145670,2015-11-06,1
145671,2023-06-30,1
145678,2021-06-01,1
145679,2015-11-10,1
145680,2020-02-01,1
145681,2019-03-01,1
145683,2016-04-01,1
145683,2022-06-30,2
145684,2023-02-01,1
145685,2020-03-01,1
145689,2023-02-01,1
145694,2020-02-01,1
145699,2018-10-01,1
145700,2021-06-01,1
145701,2019-09-01,1
145703,2019-06-30,1
145706,2022-08-22,1
145711,2021-06-01,1
145712,2022-12-19,1
145714,2018-08-01,1
145715,2018-12-01,1
145718,2022-03-27,1
145719,2021-06-01,1
145729,2021-10-01,1
145732,2023-06-30,1
145737,2021-06-01,1
145740,2015-12-01,1
145741,2020-11-01,1
145751,2017-07-18,1
145753,2020-01-31,1
145758,2020-08-31,1
145760,2022-02-01,1
145764,2015-11-01,1
145764,2023-06-01,2
145769,2019-09-01,1
145770,2019-07-01,1
145776,2017-04-01,1
145776,2021-06-29,2
145779,2023-06-30,1
145784,2018-02-01,1
145789,2019-07-01,1
145792,2022-12-19,1
145803,2023-07-01,1
145807,2020-11-01,1
145809,2015-11-06,1
145816,2021-06-01,1
145819,2015-11-01,1
145820,2023-06-30,1
145821,2020-02-01,1
145829,2021-12-31,1
145832,2020-01-31,1
145834,2018-09-01,1
145835,2019-09-01,1
145839,2022-05-31,1
145844,2023-07-01,1
145846,2020-02-01,1
145850,2015-11-30,1
145860,2015-11-05,1
145866,2022-07-01,1
145875,2015-11-06,1
145879,2018-12-01,1
145880,2023-10-01,1
145881,2017-04-01,1
145881,2021-06-29,2
145885,2017-04-01,1
145885,2021-06-29,2
145890,2017-07-01,1
145891,2020-02-01,1
145893,2023-02-01,1
145899,2021-06-01,1
145909,2017-12-01,1
145911,2023-06-30,1
145920,2019-07-01,1
145924,2019-04-01,1
145927,2018-02-01,1
145928,2021-12-31,1
145930,2022-09-30,1
145931,2021-08-01,1
145932,2016-01-05,1
145939,2022-12-19,1
145945,2022-03-01,1
145946,2015-11-01,1
145946,2021-05-01,2
145952,2023-06-30,1
145967,2021-09-30,1
145971,2020-02-01,1
145977,2015-11-01,1
145977,2023-10-06,2
145980,2020-02-01,1
145982,2018-12-28,1
145983,2015-11-01,1
145983,2023-06-01,2
145985,2018-03-01,1
145992,2015-12-01,1
145994,2020-02-01,1
145994,2023-12-01,2
145995,2015-11-01,1
145995,2023-07-01,2
145996,2021-09-30,1
145999,2022-06-30,1
146000,2017-09-01,1
146002,2017-09-01,1
146005,2017-08-02,1
146010,2017-08-02,1
146018,2017-08-01,1
146028,2023-05-01,1
146030,2019-10-01,1
146032,2019-07-01,1
146034,2015-12-01,1
146034,2023-06-01,2
146036,2019-10-01,1
146046,2019-08-01,1
146048,2019-09-01,1
146051,2023-02-01,1
146052,2020-08-31,1
146053,2021-11-01,1
146053,2023-08-01,2
146054,2017-12-01,1
146059,2023-06-30,1
146063,2023-06-30,1
146065,2022-07-01,1
146078,2021-06-25,1
146085,2020-10-31,1
146112,2019-09-01,1
146119,2018-01-01,1
146123,2020-07-15,1
146124,2015-11-09,1
146134,2017-03-01,1
146136,2018-08-02,1
146138,2019-06-01,1
146143,2016-05-01,1
146143,2023-06-01,2
146144,2017-03-01,1
146146,2023-03-01,1
146149,2023-07-01,1
146159,2019-08-30,1
146164,2019-08-30,1
146168,2021-06-25,1
146169,2021-01-01,1
146172,2019-05-01,1
146173,2019-08-02,1
146175,2017-03-01,1
146176,2019-04-02,1
155005,2016-02-01,1
155026,2016-10-31,1
155042,2017-01-01,1
155061,2021-12-01,1
155070,2018-12-01,1
155073,2023-07-01,1
155077,2021-12-01,1
155093,2014-06-01,1
155104,2023-02-01,1
155145,2018-04-01,1
155158,2018-10-01,1
155173,2015-10-01,1
155191,2022-10-01,1
155197,2017-08-01,1
155205,2015-11-01,1
155208,2018-04-01,1
155211,2017-07-15,1
155214,2020-10-01,1
155221,2017-04-01,1
155229,2018-12-01,1
155231,2020-07-01,1
155247,2021-07-01,1
155253,2020-01-01,1
155263,2022-01-01,1
155266,2018-08-01,1
155283,2018-03-31,1
155287,2018-11-01,1
155294,2020-01-01,1
155324,2018-08-01,1
155327,2017-01-01,1
155327,2017-10-01,2
155331,2018-12-01,1
155332,2022-10-01,1
155338,2021-12-31,1
155343,2018-10-01,1
155344,2018-10-01,1
155348,2018-10-01,1
155349,2016-09-01,1
155359,2016-08-01,1
155364,2020-07-31,1
155370,2017-04-01,1
155374,2022-01-01,1
155376,2016-08-01,1
155379,2018-12-01,1
155400,2021-06-27,1
155402,2018-10-01,1
155412,2017-01-01,1
155412,2017-10-01,2
155423,2018-10-01,1
155428,2017-01-01,1
155441,2017-09-01,1
155446,2020-12-31,1
155449,2016-10-01,1
155458,2017-09-01,1
155464,2017-09-01,1
155468,2022-01-01,1
155473,2021-12-01,1
155477,2018-11-01,1
155479,2015-10-01,1
155491,2016-08-01,1
155505,2021-08-01,1
155505,2023-04-01,2
155506,2017-08-01,1
155510,2018-02-01,1
155511,2017-09-01,1
155519,2022-05-01,1
155522,2018-10-01,1
155525,2020-09-01,1
155531,2021-12-01,1
155587,2017-07-01,1
155593,2023-01-01,1
155606,2018-08-01,1
155614,2016-07-01,1
155616,2017-01-01,1
155618,2021-07-01,1
155621,2020-09-01,1
155665,2016-08-01,1
155666,2019-01-01,1
155668,2016-08-01,1
155672,2015-11-01,1
155673,2022-02-01,1
155677,2017-01-01,1
155677,2017-10-01,2
155684,2015-11-01,1
155688,2019-09-01,1
155689,2022-01-01,1
155690,2021-12-01,1
155692,2016-02-01,1
155692,2022-06-01,2
155699,2022-01-01,1
155700,2018-03-15,1
155705,2016-02-01,1
155705,2022-06-01,2
155707,2018-03-01,1
155710,2023-07-01,1
155711,2017-01-01,1
155716,2023-07-01,1
155718,2018-10-01,1
155719,2017-01-01,1
155721,2017-01-01,1
155728,2022-12-01,1
155730,2020-07-01,1
155738,2016-11-30,1
155743,2018-04-01,1
155763,2017-09-01,1
155764,2017-04-30,1
155766,2019-02-01,1
155778,2016-05-01,1
155799,2018-09-21,1
155809,2015-01-01,1
155814,2021-12-01,1
155817,2019-08-30,1
155820,2017-09-01,1
155821,2017-01-01,1
155821,2017-10-01,2
155823,2016-03-01,1
155826,2018-11-14,1
155827,2015-01-07,1
155827,2017-08-01,2
155828,2022-06-01,1
155836,2017-10-01,1
155839,2018-10-01,1
155843,2019-09-01,1
155845,2018-05-01,1
155846,2019-01-01,1
155849,2019-03-01,1
155851,2019-01-01,1
155853,2016-11-03,1
155854,2019-09-01,1
155856,2020-12-31,1
155856,2021-05-31,2
165082,2017-07-01,1
165145,2018-09-01,1
165158,2019-09-17,1
165161,2019-02-01,1
165162,2020-03-01,1
165170,2020-03-01,1
165173,2016-02-01,1
165174,2016-02-01,1
165179,2020-03-01,1
165185,2018-09-01,1
165188,2019-09-17,1
165196,2016-02-01,1
165197,2016-04-01,1
165198,2016-02-01,1
165202,2019-09-17,1
165204,2021-07-01,1
165206,2018-09-01,1
165208,2020-03-01,1
165217,2022-11-01,1
165218,2017-01-01,1
165218,2021-07-01,2
165218,2023-07-01,3
165220,2019-09-17,1
165231,2020-03-01,1
165233,2020-03-01,1
165235,2016-02-01,1
165238,2016-02-01,1
165241,2016-02-01,1
165248,2016-02-01,1
165260,2016-10-15,1
165260,2021-05-14,2
165268,2017-04-01,1
165272,2020-03-01,1
165301,2021-11-01,1
165307,2019-01-01,1
165311,2018-12-17,1
165332,2017-03-01,1
165344,2017-03-01,1
165344,2021-05-14,2
165350,2021-02-01,1
165355,2021-07-01,1
165357,2021-04-01,1
165373,2021-04-01,1
165376,2017-05-01,1
165376,2021-05-14,2
165381,2021-07-01,1
165387,2017-03-01,1
165387,2021-05-14,2
165391,2021-11-01,1
165394,2017-07-01,1
165394,2021-07-01,2
165402,2017-11-01,1
165408,2017-11-01,1
165412,2018-07-01,1
165414,2016-04-01,1
165426,2017-03-01,1
165426,2021-05-14,2
165427,2021-07-01,1
165436,2017-04-01,1
165439,2016-08-01,1
165440,2016-11-11,1
165440,2021-07-31,2
165445,2017-01-01,1
165445,2021-05-14,2
165448,2016-07-01,1
165451,2017-11-01,1
165453,2021-05-14,1
165455,2017-11-01,1
165458,2017-01-01,1
165458,2021-05-14,2
165478,2020-10-01,1
165490,2017-11-01,1
165516,2023-04-01,1
165523,2017-01-01,1
165523,2021-05-14,2
165525,2021-07-31,1
165528,2017-11-01,1
165529,2020-08-01,1
165531,2016-02-01,1
165535,2019-06-01,1
165540,2021-07-01,1
165557,2021-08-01,1
165559,2018-10-04,1
165559,2023-04-01,2
165568,2021-07-01,1
165579,2023-04-01,1
165580,2021-07-01,1
165583,2019-11-01,1
165585,2016-04-20,1
165585,2021-05-14,2
165587,2023-03-01,1
165602,2022-03-01,1
165619,2019-07-01,1
165621,2017-11-06,1
175078,2015-10-31,1
175113,2015-10-31,1
175123,2019-10-01,1
175127,2015-10-31,1
175168,2018-12-01,1
175168,2023-08-01,2
175172,2018-12-01,1
175172,2023-08-01,2
175176,2019-02-01,1
175180,2015-12-01,1
175180,2017-05-01,2
175180,2023-08-01,3
175184,2020-03-16,1
175187,2023-03-31,1
175189,2020-01-01,1
175200,2018-03-01,1
175200,2020-12-01,2
175201,2019-09-30,1
175205,2019-09-30,1
175207,2017-10-01,1
175208,2019-09-30,1
175213,2020-03-16,1
175215,2018-03-01,1
175216,2017-04-01,1
175219,2019-09-30,1
175221,2019-11-01,1
175223,2019-09-30,1
175226,2022-05-01,1
175228,2019-09-30,1
175229,2019-09-30,1
175238,2017-04-01,1
175245,2019-09-30,1
175246,2021-03-01,1
175255,2019-06-01,1
175267,2017-04-01,1
175272,2019-09-30,1
175273,2019-09-30,1
175277,2020-01-01,1
175280,2019-11-01,1
175282,2018-08-01,1
175290,2022-05-01,1
175291,2021-02-01,1
175298,2016-06-30,1
175299,2019-08-01,1
175317,2019-09-30,1
175323,2020-08-10,1
175324,2019-09-30,1
175332,2018-11-01,1
175333,2020-08-01,1
175333,2020-12-01,2
175337,2019-09-30,1
175338,2017-04-01,1
175340,2021-07-01,1
175344,2017-04-01,1
175348,2019-04-01,1
175348,2020-12-01,2
175350,2022-12-20,1
175351,2021-10-01,1
175354,2019-09-17,1
175361,2019-08-01,1
175385,2021-02-01,1
175397,2017-04-01,1
175401,2019-11-01,1
175409,2022-07-01,1
175410,2020-07-01,1
175411,2021-04-01,1
175412,2017-04-01,1
175419,2017-05-10,1
175425,2019-09-30,1
175433,2017-07-01,1
175433,2023-06-01,2
175444,2017-04-01,1
175450,2016-04-01,1
175450,2022-03-01,2
175452,2016-10-01,1
175452,2019-04-01,2
175454,2019-11-01,1
175455,2019-09-30,1
175490,2015-10-31,1
175504,2020-11-01,1
175508,2023-09-01,1
175522,2018-08-01,1
175536,2017-12-16,1
175544,2017-04-01,1
175544,2019-09-01,2
175547,2022-08-15,1
175549,2015-11-24,1
175552,2015-10-16,1
175557,2016-08-01,1
175563,2021-10-01,1
175565,2019-09-30,1
185005,2022-11-17,1
185015,2018-10-12,1
185038,2017-08-29,1
185039,2019-08-30,1
185042,2016-11-01,1
185047,2015-11-01,1
185047,2018-11-30,2
185052,2015-12-01,1
185061,2018-08-31,1
185065,2017-05-01,1
185076,2018-06-01,1
185076,2019-09-30,2
185087,2018-08-31,1
185090,2023-10-19,1
185094,2018-08-01,1
185095,2016-11-01,1
185095,2019-11-01,2
185096,2018-09-01,1
185103,2016-11-01,1
185142,2017-09-01,1
185142,2019-09-30,2
185149,2018-06-01,1
185159,2016-12-01,1
185159,2019-11-01,2
185160,2020-01-01,1
185160,2021-09-08,2
185165,2016-11-01,1
185165,2019-11-01,2
185167,2023-10-19,1
185168,2015-12-01,1
185169,2015-12-01,1
185173,2018-08-31,1
185176,2016-11-01,1
185176,2019-11-01,2
185180,2015-12-01,1
185192,2016-11-01,1
185192,2019-11-01,2
185194,2020-01-01,1
185200,2016-11-01,1
185201,2015-12-01,1
185205,2015-12-01,1
185207,2016-11-01,1
185211,2015-12-01,1
185218,2016-11-01,1
185220,2019-08-30,1
185221,2018-08-31,1
185224,2018-08-31,1
185229,2018-11-30,1
185230,2018-06-01,1
185236,2021-06-30,1
185237,2018-02-01,1
185238,2016-12-01,1
185238,2019-11-01,2
185240,2016-11-01,1
185244,2017-01-20,1
185244,2019-11-01,2
185249,2015-12-01,1
185250,2016-11-01,1
185252,2018-08-31,1
185253,2019-08-30,1
185254,2016-11-01,1
185257,2016-12-01,1
185257,2019-11-01,2
185261,2019-08-30,1
185262,2018-08-31,1
185264,2020-06-01,1
185265,2021-06-30,1
185266,2018-08-31,1
185268,2018-05-01,1
185270,2023-03-31,1
185271,2021-07-31,1
185274,2019-08-30,1
185275,2015-12-01,1
185277,2015-12-01,1
185279,2018-06-01,1
185279,2019-09-30,2
185282,2019-08-30,1
185286,2020-02-29,1
185290,2023-10-19,1
185293,2018-06-01,1
185294,2017-09-01,1
185294,2019-06-30,2
185295,2019-10-11,1
185295,2023-01-01,2
185300,2015-12-01,1
185302,2018-08-31,1
185309,2018-06-01,1
185309,2019-09-30,2
185311,2015-12-01,1
185312,2018-04-01,1
185313,2018-06-01,1
185313,2019-09-30,2
185314,2016-10-31,1
185316,2018-06-01,1
185316,2019-09-30,2
185317,2019-08-30,1
185320,2016-06-01,1
185329,2018-08-31,1
185330,2018-08-31,1
185331,2018-08-31,1
185336,2018-08-31,1
185338,2018-08-31,1
185339,2018-08-31,1
185340,2015-12-01,1
185341,2019-11-30,1
185342,2015-12-01,1
185344,2022-09-01,1
185348,2018-05-01,1
185349,2015-12-01,1
185352,2018-08-31,1
185353,2018-08-31,1
185354,2018-08-31,1
185355,2023-05-08,1
185358,2020-03-31,1
185359,2016-11-01,1
185364,2021-06-30,1
185379,2016-11-01,1
185381,2015-12-01,1
185382,2018-04-01,1
185392,2016-11-01,1
185402,2018-09-30,1
185409,2021-06-30,1
185415,2019-08-30,1
185418,2019-08-30,1
185434,2016-11-01,1
185442,2016-01-01,1
185444,2023-03-31,1
185445,2018-09-30,1
185455,2018-05-01,1
185456,2019-08-30,1
185464,2019-03-01,1
185468,2018-05-01,1
185469,2018-11-30,1
195177,2021-01-31,1
195177,2022-07-26,2
195204,2015-09-30,1
195309,2019-12-31,1
195329,2020-09-29,1
195341,2019-03-01,1
195344,2019-04-01,1
195349,2016-02-29,1
195353,2021-01-01,1
195356,2022-07-26,1
195359,2020-04-01,1
195363,2016-07-01,1
195365,2021-10-01,1
195373,2022-11-30,1
195380,2019-04-01,1
195386,2020-01-01,1
195388,2019-12-31,1
195392,2019-08-01,1
195394,2018-01-01,1
195423,2020-12-31,1
195423,2022-12-31,2
195430,2022-02-01,1
195443,2019-05-01,1
195472,2015-10-31,1
195483,2020-12-01,1
195488,2021-01-01,1
195497,2023-09-30,1
195498,2022-12-01,1
195505,2020-10-01,1
195508,2022-02-01,1
195509,2016-12-31,1
195512,2021-01-01,1
195513,2019-04-01,1
195515,2019-04-01,1
195517,2019-02-06,1
195518,2021-12-31,1
195523,2018-08-01,1
195532,2020-10-31,1
195536,2020-11-01,1
195538,2019-04-01,1
195543,2018-10-20,1
195543,2021-05-01,2
195544,2021-09-30,1
195545,2016-08-31,1
195550,2021-12-31,1
195557,2019-06-01,1
195565,2019-07-31,1
195570,2021-12-01,1
195573,2021-12-31,1
195582,2023-09-30,1
195585,2021-12-01,1
195590,2023-06-30,1
195592,2021-12-31,1
195594,2019-04-01,1
195603,2021-12-01,1
195604,2019-04-01,1
195613,2024-08-01,1
195615,2019-04-01,1
195617,2020-07-31,1
195618,2022-06-30,1
195619,2021-12-31,1
195635,2018-03-01,1
195636,2018-08-31,1
195637,2015-01-01,1
195638,2019-11-01,1
195644,2022-11-04,1
205082,2020-02-01,1
205086,2020-02-01,1
205101,2015-12-31,1
205120,2021-07-01,1
205124,2023-07-19,1
215001,2021-05-01,1
215005,2018-02-01,1
215005,2023-02-01,2
215010,2020-05-01,1
215010,2023-04-01,2
215014,2022-06-01,1
215017,2015-11-01,1
215017,2019-11-01,2
215017,2022-08-01,3
215022,2017-03-01,1
215024,2020-03-01,1
215025,2018-02-01,1
215025,2023-02-01,2
215026,2019-01-01,1
215031,2021-05-01,1
215048,2023-09-01,1
215052,2018-02-01,1
215052,2023-02-01,2
215055,2017-05-01,1
215060,2016-11-01,1
215069,2018-07-01,1
215073,2020-08-01,1
215073,2022-01-01,2
215074,2021-05-01,1
215077,2023-06-01,1
215081,2021-05-01,1
215082,2017-06-30,1
215082,2017-07-01,2
215082,2018-08-01,3
215083,2019-11-01,1
215083,2022-08-01,2
215084,2020-02-01,1
215084,2023-08-01,2
215085,2020-04-01,1
215085,2023-08-01,2
215090,2021-05-01,1
215092,2019-01-01,1
215094,2017-05-01,1
215095,2023-09-01,1
215096,2021-05-01,1
215097,2021-05-01,1
215105,2016-08-31,1
215107,2020-11-01,1
215111,2016-03-01,1
215113,2022-10-01,1
215114,2021-05-01,1
215115,2018-01-01,1
215120,2021-08-01,1
215126,2017-01-01,1
215128,2014-09-01,1
215129,2021-05-01,1
215134,2019-12-01,1
215134,2020-05-01,2
215134,2023-04-01,3
215135,2021-05-01,1
215136,2019-11-01,1
215136,2022-08-01,2
215141,2022-06-01,1
215142,2022-11-01,1
215143,2021-05-01,1
215144,2018-01-01,1
215145,2018-02-01,1
215145,2023-02-01,2
215148,2021-05-01,1
215149,2017-06-30,1
215149,2017-07-01,2
215149,2018-08-01,3
215149,2020-05-01,4
215149,2023-04-01,5
215151,2021-05-01,1
215164,2018-07-31,1
215165,2021-05-01,1
215168,2018-07-31,1
215171,2023-09-01,1
215177,2018-06-01,1
215178,2021-12-16,1
215178,2023-08-01,2
215179,2019-11-01,1
215179,2022-08-01,2
215184,2017-03-01,1
215184,2022-01-31,2
215187,2022-06-01,1
215189,2019-11-01,1
215189,2022-08-01,2
215191,2022-11-01,1
215193,2019-12-31,1
215194,2022-06-01,1
215195,2018-05-01,1
215197,2019-09-01,1
215197,2023-08-01,2
215199,2019-06-01,1
215199,2023-01-01,2
215203,2019-08-01,1
215209,2022-06-01,1
215212,2018-03-01,1
215212,2023-08-01,2
215216,2022-08-01,1
215217,2015-12-31,1
215217,2017-01-01,2
215220,2017-01-01,1
215221,2021-05-01,1
215224,2023-06-01,1
215226,2023-06-01,1
215227,2022-10-31,1
215227,2022-11-01,2
215229,2022-01-01,1
215230,2017-01-01,1
215232,2017-01-01,1
215233,2019-05-01,1
215234,2022-06-01,1
215236,2017-01-01,1
215240,2015-12-31,1
215240,2017-01-01,2
215241,2016-07-01,1
215244,2015-12-31,1
215244,2017-01-01,2
215252,2017-01-01,1
215258,2021-05-01,1
215260,2020-05-01,1
215260,2023-04-01,2
215262,2018-06-01,1
215265,2020-07-01,1
215266,2022-06-01,1
215268,2022-01-01,1
215269,2015-10-01,1
215269,2018-11-01,2
215270,2020-09-01,1
215272,2022-03-01,1
215277,2020-03-01,1
215277,2022-08-01,2
215312,2022-06-01,1
215313,2021-05-01,1
215315,2019-11-01,1
215315,2022-08-01,2
215316,2022-06-01,1
215320,2021-11-01,1
215320,2023-05-01,2
215321,2015-12-31,1
215321,2017-01-01,2
215323,2019-02-01,1
215325,2022-06-01,1
215326,2022-06-01,1
215327,2020-05-01,1
215327,2023-08-01,2
215330,2019-02-01,1
215331,2020-03-01,1
215336,2017-05-01,1
215338,2019-08-01,1
215347,2018-07-01,1
215349,2019-02-01,1
215350,2017-01-01,1
215352,2022-11-01,1
215356,2018-07-31,1
215362,2017-01-01,1
215365,2018-06-01,1
215365,2023-02-01,2
225007,2016-05-15,1
225009,2017-09-01,1
225051,2016-05-15,1
225054,2016-07-01,1
225059,2016-07-01,1
225067,2017-09-01,1
225137,2017-09-01,1
225145,2017-09-01,1
225147,2018-04-01,1
225147,2021-02-16,2
225170,2016-07-17,1
225170,2017-04-01,2
225176,2023-10-16,1
225185,2019-10-29,1
225185,2023-10-15,2
225194,2022-08-01,1
225198,2021-02-16,1
225208,2022-08-01,1
225216,2017-09-01,1
225219,2019-11-21,1
225219,2019-11-22,2
225221,2017-04-01,1
225221,2018-10-01,2
225221,2021-11-01,3
225227,2019-10-11,1
225229,2018-04-01,1
225229,2021-02-16,2
225232,2022-09-01,1
225239,2017-09-01,1
225242,2017-12-01,1
225248,2021-08-31,1
225253,2023-10-16,1
225262,2019-11-21,1
225263,2016-07-17,1
225263,2017-04-01,2
225265,2019-09-01,1
225265,2022-01-31,2
225267,2017-09-01,1
225269,2017-11-01,1
225279,2016-07-01,1
225284,2017-09-01,1
225286,2023-10-16,1
225294,2023-10-16,1
225295,2019-09-01,1
225295,2022-01-31,2
225296,2019-12-31,1
225303,2019-11-21,1
225309,2021-06-01,1
225312,2020-11-12,1
225314,2016-11-01,1
225317,2022-07-01,1
225318,2020-10-01,1
225318,2022-06-02,2
225319,2017-09-01,1
225320,2017-12-01,1
225321,2017-09-01,1
225324,2017-09-01,1
225329,2017-09-01,1
225333,2016-09-01,1
225335,2022-09-01,1
225343,2017-09-01,1
225344,2018-02-27,1
225344,2022-07-31,2
225355,2020-12-01,1
225360,2017-01-20,1
225360,2022-01-14,2
225379,2021-07-15,1
225382,2022-08-01,1
225383,2015-12-17,1
225387,2016-10-01,1
225392,2019-11-21,1
225398,2018-02-27,1
225398,2022-08-01,2
225404,2022-06-28,1
225413,2019-11-01,1
225421,2023-10-16,1
225425,2020-10-01,1
225425,2022-02-01,2
225426,2017-07-17,1
225431,2019-11-22,1
225432,2020-10-01,1
225444,2019-10-29,1
225444,2023-10-15,2
225445,2017-12-01,1
225453,2019-10-29,1
225453,2023-10-15,2
225456,2016-07-17,1
225456,2017-04-01,2
225461,2019-10-29,1
225461,2023-10-15,2
225464,2017-09-01,1
225465,2015-11-01,1
225467,2020-10-01,1
225467,2022-02-01,2
225467,2023-12-31,3
225469,2017-06-11,1
225470,2020-08-01,1
225474,2022-09-01,1
225476,2022-09-01,1
225478,2017-03-14,1
225480,2018-01-01,1
225483,2017-11-01,1
225486,2019-01-01,1
225489,2019-11-21,1
225490,2017-03-14,1
225497,2018-12-01,1
225499,2018-11-30,1
225501,2016-05-15,1
225505,2017-03-14,1
225510,2021-06-01,1
225510,2023-02-01,2
225511,2022-11-01,1
225511,2023-12-31,2
225512,2017-12-01,1
225522,2022-09-01,1
225522,2023-12-31,2
225525,2017-07-17,1
225527,2018-02-01,1
225530,2023-10-16,1
225532,2018-11-30,1
225533,2020-12-01,1
225536,2017-12-01,1
225537,2017-01-20,1
225539,2016-03-01,1
225539,2019-10-11,2
225549,2019-10-29,1
225549,2023-10-15,2
225557,2016-11-21,1
225558,2019-11-21,1
225567,2021-06-01,1
225568,2019-06-01,1
225576,2017-09-01,1
225586,2021-06-01,1
225586,2023-02-01,2
225589,2022-08-01,1
225591,2016-06-16,1
225599,2015-11-01,1
225603,2016-11-21,1
225612,2015-10-31,1
225630,2022-10-01,1
225642,2017-12-01,1
225644,2019-06-01,1
225659,2017-09-01,1
225662,2016-07-01,1
225690,2016-11-21,1
225710,2019-11-21,1
225710,2019-11-22,2
225718,2016-11-01,1
225723,2017-12-01,1
225743,2018-10-01,1
225747,2022-08-01,1
225749,2017-12-01,1
225756,2016-05-15,1
225757,2019-09-01,1
225757,2022-01-31,2
225757,2023-02-01,3
225766,2023-10-16,1
225770,2016-07-01,1
225780,2015-11-01,1
225782,2023-05-01,1
235004,2018-05-01,1
235014,2015-09-30,1
235014,2021-11-01,2
235016,2017-02-01,1
235023,2021-07-01,1
235032,2018-05-01,1
235038,2016-10-31,1
235057,2021-07-01,1
235077,2017-03-01,1
235102,2018-07-01,1
235103,2018-05-01,1
235109,2023-04-07,1
235114,2017-03-01,1
235132,2021-09-01,1
235184,2023-03-15,1
235206,2018-05-01,1
235217,2018-05-01,1
235250,2017-02-01,1
235261,2018-05-01,1
235264,2020-05-01,1
235266,2021-11-01,1
235267,2023-04-07,1
235281,2022-05-10,1
235283,2016-05-01,1
235287,2023-07-31,1
235288,2017-02-01,1
235290,2020-02-14,1
235293,2016-02-01,1
235294,2020-02-14,1
235298,2018-07-01,1
235312,2020-02-14,1
235325,2015-07-01,1
235330,2016-02-01,1
235332,2018-07-01,1
235347,2018-05-01,1
235349,2020-10-01,1
235351,2018-05-01,1
235355,2020-02-14,1
235357,2020-02-14,1
235365,2018-05-01,1
235366,2020-02-14,1
235372,2017-11-16,1
235377,2019-09-01,1
235380,2015-07-01,1
235383,2018-01-01,1
235395,2023-04-07,1
235396,2015-07-01,1
235402,2015-07-01,1
235412,2015-07-01,1
235414,2015-07-01,1
235429,2015-07-01,1
235441,2018-05-01,1
235454,2017-11-15,1
235454,2017-11-16,2
235463,2015-07-01,1
235468,2017-11-16,1
235480,2021-11-01,1
235487,2018-05-01,1
235489,2015-07-01,1
235491,2021-11-01,1
235503,2015-07-01,1
235509,2017-06-01,1
235509,2022-06-01,2
235511,2020-10-01,1
235514,2018-07-01,1
235517,2016-05-01,1
235520,2023-07-31,1
235521,2021-11-01,1
235524,2022-05-01,1
235538,2020-08-04,1
235539,2022-06-01,1
235544,2017-11-01,1
235544,2021-02-01,2
235552,2020-10-01,1
235558,2019-12-01,1
235573,2019-02-01,1
235580,2023-04-07,1
235593,2021-10-01,1
235599,2020-11-01,1
235607,2015-01-01,1
235608,2016-05-01,1
235609,2016-06-30,1
235609,2022-06-01,2
235618,2023-04-07,1
235626,2023-04-07,1
235632,2021-11-01,1
235640,2020-05-01,1
235648,2018-01-01,1
235665,2023-04-07,1
235723,2020-01-01,1
235730,2022-01-01,1
245052,2020-11-01,1
245067,2019-02-01,1
245083,2017-12-01,1
245083,2022-12-31,2
245084,2017-02-01,1
245090,2018-08-01,1
245114,2018-08-01,1
245164,2017-12-01,1
245164,2022-12-31,2
245182,2022-12-31,1
245184,2017-04-04,1
245186,2017-12-01,1
245186,2022-12-31,2
245187,2017-12-01,1
245187,2022-12-31,2
245189,2020-02-25,1
245203,2022-12-31,1
245223,2019-02-01,1
245227,2016-04-01,1
245237,2019-08-22,1
245253,2021-06-08,1
245257,2016-11-01,1
245258,2023-08-01,1
245270,2017-03-01,1
245273,2020-11-01,1
245277,2019-06-01,1
245283,2019-06-01,1
245286,2018-01-01,1
245289,2016-03-01,1
