cms_certification_number,S2_2_CHOWDATE,chow_order
055434,2023-03-01,1
055435,2018-08-30,1
055438,2023-06-22,1
055454,2021-04-09,1
055454,2021-11-01,2
055489,2022-03-01,1
055491,2020-03-20,1
055494,2016-06-01,1
055531,2019-09-30,1
055544,2020-01-31,1
055557,2021-07-01,1
055562,2019-10-01,1
055568,2023-06-15,1
055608,2015-12-01,1
055653,2023-03-23,1
055728,2023-05-31,1
055739,2023-03-01,1
055748,2021-02-28,1
055750,2019-10-07,1
055799,2021-04-09,1
055845,2022-07-31,1
055848,2017-09-01,1
055858,2021-04-09,1
055862,2020-12-01,1
055873,2023-06-01,1
055884,2022-06-01,1
055887,2018-11-30,1
055894,2023-02-01,1
055916,2022-05-01,1
055983,2023-02-01,1
055988,2023-03-01,1
055991,2021-08-01,1
055996,2021-04-09,1
056021,2020-06-16,1
056035,2019-12-31,1
056039,2023-06-15,1
056053,2021-04-30,1
056065,2017-09-01,1
056069,2022-05-01,1
056082,2015-11-03,1
056090,2023-02-28,1
056098,2023-02-01,1
056100,2021-04-09,1
056100,2022-12-01,2
056109,2023-02-01,1
056122,2019-06-30,1
056125,2023-02-01,1
056132,2023-03-01,1
056157,2019-12-31,1
056158,2020-03-20,1
056166,2023-06-01,1
056180,2023-02-01,1
056189,2019-10-31,1
056190,2022-03-10,1
056203,2017-09-01,1
056203,2023-05-01,2
056205,2023-02-01,1
056213,2021-08-01,1
056225,2019-09-17,1
056253,2020-05-01,1
056260,2017-09-01,1
056261,2022-05-01,1
056281,2021-04-09,1
056288,2017-01-01,1
056301,2023-03-01,1
056315,2019-09-01,1
056316,2019-09-17,1
056325,2021-04-09,1
056327,2017-09-01,1
056338,2021-04-09,1
056351,2023-02-01,1
056365,2021-07-01,1
056381,2020-06-16,1
056388,2016-06-01,1
056389,2018-10-01,1
056425,2023-02-01,1
056435,2020-10-01,1
056457,2021-09-01,1
056471,2022-12-31,1
056495,2020-06-29,1
065001,2017-11-30,1
065034,2023-02-01,1
065052,2016-04-30,1
065052,2023-02-01,2
065108,2016-07-01,1
065108,2017-06-30,2
065110,2023-09-01,1
065113,2016-07-01,1
065113,2017-06-30,2
065147,2023-09-01,1
065153,2022-09-01,1
065165,2021-08-24,1
065166,2021-10-01,1
065168,2021-10-01,1
065169,2018-03-01,1
065170,2021-10-01,1
065172,2021-10-01,1
065174,2021-10-01,1
065175,2021-10-01,1
065183,2021-09-01,1
065188,2022-04-05,1
065191,2016-04-30,1
065191,2023-03-01,2
065193,2021-10-01,1
065202,2020-01-01,1
065203,2020-01-01,1
065208,2021-10-01,1
065212,2021-10-01,1
065219,2021-08-24,1
065221,2021-08-24,1
065225,2021-10-01,1
065226,2021-08-01,1
065228,2021-10-01,1
065229,2021-10-01,1
065232,2023-09-01,1
065235,2016-07-01,1
065238,2023-11-03,1
065241,2023-09-01,1
065242,2023-02-01,1
065243,2021-10-01,1
065244,2016-07-01,1
065247,2020-01-01,1
065249,2020-01-01,1
065250,2020-01-01,1
065251,2016-07-01,1
065253,2020-01-01,1
065256,2023-02-01,1
065257,2022-04-05,1
065267,2023-09-01,1
065272,2023-02-01,1
065273,2023-02-01,1
065274,2023-02-01,1
065278,2021-08-24,1
065285,2022-12-21,1
065286,2023-02-01,1
065290,2021-10-01,1
065306,2022-09-01,1
065307,2020-01-01,1
065330,2017-09-01,1
065337,2017-07-10,1
065362,2020-01-31,1
065366,2022-09-01,1
065374,2020-01-31,1
065378,2023-02-01,1
065388,2017-08-31,1
065388,2020-07-01,2
065393,2021-01-01,1
065396,2022-09-01,1
065399,2022-09-01,1
065400,2021-08-01,1
065400,2023-09-12,2
065405,2016-02-01,1
065405,2018-12-19,2
065407,2021-01-01,1
065411,2022-09-01,1
065414,2021-08-01,1
065414,2023-02-01,2
065415,2023-09-01,1
065418,2016-08-22,1
065423,2020-02-01,1
065424,2022-09-01,1
065430,2018-12-27,1
075011,2016-01-01,1
075013,2018-12-18,1
075057,2019-05-01,1
075060,2020-05-01,1
075079,2017-07-01,1
075084,2021-09-27,1
075105,2016-03-04,1
075105,2021-11-01,2
075109,2016-12-21,1
075153,2016-08-09,1
075158,2017-07-01,1
075182,2016-03-01,1
075183,2022-11-15,1
075192,2021-09-01,1
075195,2016-10-05,1
075196,2016-10-05,1
075200,2021-11-01,1
075201,2016-03-04,1
075201,2021-11-01,2
075207,2016-03-04,1
075210,2016-03-16,1
075219,2016-03-04,1
075219,2021-11-01,2
075237,2022-11-15,1
075240,2021-09-01,1
075243,2020-09-30,1
075253,2021-09-01,1
075258,2018-05-17,1
075267,2016-10-05,1
075270,2021-09-01,1
075279,2022-11-15,1
075294,2018-05-03,1
075320,2020-10-15,1
075326,2015-12-29,1
075331,2023-11-28,1
075333,2022-07-26,1
075334,2022-07-26,1
075338,2020-10-15,1
075341,2022-09-01,1
075348,2016-10-01,1
075366,2016-04-01,1
075375,2022-09-01,1
075397,2016-03-04,1
075397,2021-11-01,2
075405,2023-11-28,1
075407,2023-11-28,1
075416,2016-04-01,1
075419,2023-08-01,1
075425,2022-07-17,1
085002,2020-04-01,1
085013,2021-06-01,1
085021,2020-01-01,1
085025,2020-04-01,1
085027,2021-06-01,1
085028,2023-08-01,1
085031,2020-01-01,1
085033,2023-08-01,1
085034,2020-04-01,1
085036,2020-01-01,1
085039,2018-08-01,1
085042,2021-06-01,1
095015,2018-02-01,1
095022,2020-09-01,1
095031,2018-05-01,1
095034,2019-05-01,1
105001,2022-04-01,1
105002,2017-03-31,1
105002,2017-04-01,2
105002,2020-05-07,3
105008,2021-09-01,1
105009,2022-10-07,1
105012,2023-09-01,1
105037,2018-09-19,1
105038,2022-06-01,1
105050,2022-07-27,1
105052,2020-11-03,1
105071,2015-12-01,1
105071,2023-08-01,2
105072,2022-07-27,1
105089,2023-01-01,1
105119,2022-07-27,1
105120,2023-04-30,1
105125,2015-12-01,1
105125,2023-08-01,2
105132,2023-12-01,1
105138,2022-02-01,1
105140,2017-06-02,1
105140,2021-06-01,2
105145,2020-11-03,1
105146,2020-11-03,1
105148,2023-12-01,1
105149,2022-07-27,1
105159,2022-07-27,1
105166,2015-12-01,1
105166,2023-08-01,2
105193,2022-07-27,1
105196,2022-07-27,1
105202,2022-07-27,1
105205,2023-01-01,1
105217,2022-07-27,1
105228,2018-11-01,1
105228,2022-05-01,2
105229,2018-05-01,1
105248,2023-02-28,1
105250,2020-04-20,1
105251,2022-07-27,1
105257,2023-09-01,1
105258,2023-11-02,1
105261,2018-05-03,1
105261,2022-09-22,2
105262,2018-05-03,1
105262,2022-09-22,2
105267,2022-04-01,1
105277,2018-08-07,1
105287,2022-10-08,1
105292,2016-04-07,1
105292,2018-01-01,2
105296,2022-02-05,1
105296,2023-08-31,2
105300,2022-02-01,1
105302,2018-06-27,1
105307,2018-09-19,1
105320,2020-11-03,1
105325,2023-09-05,1
105328,2020-03-08,1
105331,2019-07-01,1
105332,2020-04-01,1
105336,2015-12-01,1
105336,2023-08-01,2
105346,2021-07-31,1
105346,2023-08-11,2
105349,2021-06-17,1
105350,2022-02-06,1
105350,2023-08-31,2
105352,2021-08-01,1
105352,2023-09-01,2
105353,2023-06-05,1
105354,2016-03-31,1
105362,2020-12-01,1
105362,2023-09-01,2
105363,2022-11-01,1
105366,2021-08-01,1
105366,2022-09-09,2
105373,2020-11-19,1
105375,2022-07-27,1
105377,2020-11-03,1
105379,2020-11-03,1
105381,2022-10-08,1
105382,2018-06-27,1
105387,2022-11-01,1
105389,2023-05-05,1
105390,2020-11-24,1
105394,2020-11-19,1
105395,2016-09-28,1
105399,2018-06-27,1
105407,2020-08-01,1
105410,2018-08-07,1
105413,2023-12-01,1
105416,2023-12-01,1
105417,2023-11-02,1
105419,2020-11-19,1
105421,2023-05-05,1
105422,2018-01-01,1
105422,2022-05-01,2
105426,2015-12-01,1
105426,2023-08-01,2
105427,2015-12-31,1
105428,2021-07-31,1
105430,2022-04-01,1
105431,2015-12-01,1
105431,2023-08-01,2
105433,2023-11-02,1
105435,2017-04-01,1
105435,2021-03-21,2
105436,2023-05-05,1
105438,2020-11-19,1
105439,2020-04-20,1
105440,2023-09-01,1
105441,2022-03-31,1
105442,2019-08-01,1
105443,2023-11-02,1
105445,2023-11-02,1
105447,2023-09-05,1
105452,2023-11-02,1
105453,2018-06-27,1
105454,2023-05-05,1
105455,2020-11-03,1
105458,2022-10-08,1
105459,2022-04-01,1
105460,2023-09-01,1
105461,2023-11-02,1
105462,2016-03-31,1
105463,2022-09-30,1
105464,2020-04-01,1
105465,2020-11-19,1
105467,2015-12-01,1
105467,2023-08-01,2
105468,2019-06-01,1
105468,2022-07-27,2
105470,2019-08-01,1
105471,2023-04-01,1
105474,2022-03-01,1
105475,2021-12-31,1
105476,2021-11-08,1
105478,2022-07-27,1
105480,2023-12-01,1
105481,2023-04-01,1
105482,2022-04-01,1
