cms_certification_number,num_chows,had_chow,chow_date_1,chow_date_2,chow_date_3,chow_date_4,chow_date_5,chow_date_6,chow_date_7,chow_date_8,chow_date_9,chow_date_10,chow_date_11,chow_date_12
045334,3,True,2019-01-23,2021-04-05,2023-01-01,,,,,,,,,
045342,1,True,2022-06-01,,,,,,,,,,,
045345,3,True,2019-01-23,2021-04-05,2023-01-01,,,,,,,,,
045346,2,True,2018-09-01,2022-06-01,,,,,,,,,,
045350,1,True,2022-07-01,,,,,,,,,,,
045353,2,True,2020-10-01,2022-01-01,,,,,,,,,,
045356,1,True,2018-06-01,,,,,,,,,,,
045357,1,True,2022-03-31,,,,,,,,,,,
045358,2,True,2019-01-01,2022-01-01,,,,,,,,,,
045359,3,True,2019-01-23,2021-04-05,2023-01-01,,,,,,,,,
045361,1,True,2023-01-16,,,,,,,,,,,
045366,1,True,2018-11-01,,,,,,,,,,,
045370,1,True,2020-09-15,,,,,,,,,,,
045372,3,True,2019-01-23,2021-04-05,2023-01-01,,,,,,,,,
045377,2,True,2019-02-10,2022-01-01,,,,,,,,,,
045378,1,True,2018-06-01,,,,,,,,,,,
045382,1,True,2018-01-01,,,,,,,,,,,
045383,2,True,2021-04-01,2022-06-01,,,,,,,,,,
045385,3,True,2019-01-23,2021-04-05,2023-01-01,,,,,,,,,
045386,2,True,2022-01-14,2022-06-14,,,,,,,,,,
045390,4,True,2018-01-01,2022-01-14,2022-06-14,2022-08-15,,,,,,,,
045391,3,True,2022-06-14,2022-08-15,2023-01-01,,,,,,,,,
045393,3,True,2022-01-14,2022-06-14,2022-08-15,,,,,,,,,
045396,1,True,2022-01-01,,,,,,,,,,,
045402,1,True,2020-09-15,,,,,,,,,,,
045403,1,True,2018-07-25,,,,,,,,,,,
045404,1,True,2022-06-01,,,,,,,,,,,
045411,2,True,2022-01-01,2022-01-03,,,,,,,,,,
045412,1,True,2022-08-15,,,,,,,,,,,
045418,2,True,2022-06-01,2024-08-01,,,,,,,,,,
045421,1,True,2018-07-01,,,,,,,,,,,
045428,1,True,2019-04-09,,,,,,,,,,,
045430,1,True,2022-03-31,,,,,,,,,,,
045431,2,True,2018-02-01,2021-07-01,,,,,,,,,,
045432,2,True,2017-06-07,2021-07-01,,,,,,,,,,
045434,1,True,2025-04-01,,,,,,,,,,,
045437,1,True,2018-07-25,,,,,,,,,,,
045439,1,True,2018-11-01,,,,,,,,,,,
045440,1,True,2018-11-01,,,,,,,,,,,
045446,3,True,2019-01-23,2021-04-05,2023-01-01,,,,,,,,,
045447,1,True,2018-01-01,,,,,,,,,,,
045450,2,True,2019-01-23,2021-04-05,,,,,,,,,,
045451,1,True,2022-03-31,,,,,,,,,,,
045458,2,True,2020-06-26,2022-06-01,,,,,,,,,,
045466,2,True,2018-06-02,2022-01-01,,,,,,,,,,
045469,3,True,2020-04-01,2020-06-15,2022-06-01,,,,,,,,,
045470,3,True,2020-04-01,2020-06-15,2022-06-01,,,,,,,,,
045474,2,True,2022-01-14,2023-01-01,,,,,,,,,,
045477,1,True,2023-08-01,,,,,,,,,,,
045478,1,True,2017-05-05,,,,,,,,,,,
045479,1,True,2024-03-01,,,,,,,,,,,
055001,4,True,2017-01-15,2018-07-27,2021-11-05,2023-06-30,,,,,,,,
055011,1,True,2022-04-18,,,,,,,,,,,
055014,3,True,2018-06-29,2022-11-08,2023-02-01,,,,,,,,,
055017,1,True,2017-06-30,,,,,,,,,,,
055028,1,True,2021-11-01,,,,,,,,,,,
055032,3,True,2019-04-01,2020-02-01,2024-03-01,,,,,,,,,
055036,1,True,2023-01-01,,,,,,,,,,,
055042,1,True,2019-01-01,,,,,,,,,,,
055047,2,True,2019-05-17,2021-02-01,,,,,,,,,,
055049,3,True,2020-12-31,2023-06-30,2024-04-15,,,,,,,,,
055052,2,True,2019-01-01,2023-04-17,,,,,,,,,,
055056,1,True,2019-01-01,,,,,,,,,,,
055064,6,True,2017-01-15,2018-07-27,2019-08-08,2021-11-05,2023-06-30,2024-04-15,,,,,,
055067,1,True,2017-11-09,,,,,,,,,,,
055072,1,True,2017-03-01,,,,,,,,,,,
055084,1,True,2023-05-25,,,,,,,,,,,
055085,3,True,2020-12-31,2023-06-30,2024-04-15,,,,,,,,,
055092,6,True,2017-01-15,2018-07-27,2019-10-01,2021-11-05,2023-06-30,2024-04-15,,,,,,
055093,1,True,2017-09-01,,,,,,,,,,,
055099,1,True,2019-02-06,,,,,,,,,,,
055105,1,True,2017-11-20,,,,,,,,,,,
055107,2,True,2018-01-01,2018-01-10,,,,,,,,,,
055109,1,True,2019-02-06,,,,,,,,,,,
055111,3,True,2019-04-01,2020-06-01,2024-03-01,,,,,,,,,
055116,1,True,2018-06-30,,,,,,,,,,,
055121,2,True,2019-04-01,2021-08-01,,,,,,,,,,
055123,2,True,2021-12-01,2023-01-01,,,,,,,,,,
055126,1,True,2023-06-30,,,,,,,,,,,
055129,3,True,2018-06-29,2022-11-08,2023-02-01,,,,,,,,,
055135,2,True,2020-05-06,2023-06-30,,,,,,,,,,
055136,3,True,2019-05-21,2019-05-29,2019-06-29,,,,,,,,,
055141,3,True,2018-06-29,2022-11-08,2023-02-01,,,,,,,,,
055142,1,True,2023-06-30,,,,,,,,,,,
055150,3,True,2023-01-11,2023-06-30,2024-04-15,,,,,,,,,
055153,3,True,2019-02-02,2020-06-01,2024-03-01,,,,,,,,,
055155,2,True,2019-05-02,2019-06-01,,,,,,,,,,
055156,1,True,2021-04-01,,,,,,,,,,,
055163,1,True,2019-01-01,,,,,,,,,,,
055168,1,True,2021-01-01,,,,,,,,,,,
055170,2,True,2020-05-06,2023-06-30,,,,,,,,,,
055175,1,True,2017-07-20,,,,,,,,,,,
055181,1,True,2023-06-30,,,,,,,,,,,
055183,1,True,2019-10-23,,,,,,,,,,,
055185,6,True,2017-01-15,2018-07-27,2019-08-01,2021-11-05,2023-06-30,2024-04-15,,,,,,
055187,3,True,2018-06-29,2022-11-08,2023-02-01,,,,,,,,,
055191,2,True,2023-03-01,2025-03-03,,,,,,,,,,
055199,2,True,2018-12-31,2023-04-01,,,,,,,,,,
055201,1,True,2019-06-01,,,,,,,,,,,
055202,1,True,2023-05-01,,,,,,,,,,,
055203,1,True,2019-08-02,,,,,,,,,,,
055204,6,True,2017-01-15,2018-07-27,2019-12-20,2021-11-05,2023-06-30,2024-04-15,,,,,,
055212,2,True,2017-07-24,2021-06-01,,,,,,,,,,
055222,1,True,2023-02-01,,,,,,,,,,,
055237,1,True,2017-11-09,,,,,,,,,,,
055239,5,True,2017-01-15,2018-07-27,2021-11-05,2023-06-30,2024-04-15,,,,,,,
055242,3,True,2018-06-29,2022-11-08,2023-02-01,,,,,,,,,
055252,1,True,2019-01-01,,,,,,,,,,,
055262,3,True,2018-06-29,2022-11-08,2023-02-01,,,,,,,,,
055268,3,True,2020-12-31,2023-06-30,2024-04-15,,,,,,,,,
055276,3,True,2023-01-11,2023-06-30,2024-04-15,,,,,,,,,
055280,7,True,2018-11-08,2018-12-01,2019-01-01,2019-02-01,2020-12-31,2023-06-30,2024-04-15,,,,,
055287,1,True,2020-11-23,,,,,,,,,,,
055288,2,True,2019-02-06,2019-12-09,,,,,,,,,,
055289,1,True,2019-06-01,,,,,,,,,,,
055293,1,True,2019-08-15,,,,,,,,,,,
055296,3,True,2022-03-01,2022-03-10,2023-06-01,,,,,,,,,
055297,3,True,2018-07-24,2018-07-28,2023-06-30,,,,,,,,,
055299,3,True,2023-05-24,2023-06-29,2023-06-30,,,,,,,,,
055303,1,True,2021-04-01,,,,,,,,,,,
055304,1,True,2021-05-01,,,,,,,,,,,
055305,1,True,2019-10-01,,,,,,,,,,,
055307,3,True,2017-03-06,2018-03-01,2020-07-23,,,,,,,,,
055308,1,True,2023-06-30,,,,,,,,,,,
055310,4,True,2017-03-01,2020-12-31,2023-06-30,2024-04-15,,,,,,,,
055311,1,True,2023-06-30,,,,,,,,,,,
055316,2,True,2022-10-01,2022-10-10,,,,,,,,,,
055318,1,True,2019-02-06,,,,,,,,,,,
055322,1,True,2018-07-01,,,,,,,,,,,
055328,5,True,2017-01-15,2018-07-27,2021-11-05,2023-06-30,2024-04-15,,,,,,,
055329,1,True,2023-06-30,,,,,,,,,,,
055331,1,True,2019-01-01,,,,,,,,,,,
055335,5,True,2017-01-15,2018-07-27,2021-11-05,2023-06-30,2024-04-15,,,,,,,
055342,3,True,2017-03-06,2017-12-31,2019-02-21,,,,,,,,,
055354,1,True,2021-12-31,,,,,,,,,,,
055356,1,True,2019-02-16,,,,,,,,,,,
055372,5,True,2019-03-11,2019-04-01,2020-12-31,2023-06-30,2024-04-15,,,,,,,
055374,1,True,2019-03-12,,,,,,,,,,,
055387,3,True,2018-06-29,2022-11-08,2023-02-01,,,,,,,,,
055401,2,True,2017-02-03,2020-08-01,,,,,,,,,,
055402,1,True,2023-06-30,,,,,,,,,,,
055408,6,True,2019-07-01,2020-01-01,2021-11-22,2021-12-01,2022-01-01,2023-01-01,,,,,,
055410,2,True,2018-02-01,2022-05-10,,,,,,,,,,
055412,1,True,2023-02-01,,,,,,,,,,,
055417,1,True,2019-10-01,,,,,,,,,,,
055434,1,True,2023-01-11,,,,,,,,,,,
055435,1,True,2022-02-01,,,,,,,,,,,
055438,1,True,2023-06-22,,,,,,,,,,,
055443,3,True,2020-12-31,2023-06-30,2024-04-15,,,,,,,,,
055446,6,True,2017-01-15,2018-07-27,2019-12-20,2021-11-05,2023-06-30,2024-04-15,,,,,,
055449,2,True,2020-05-06,2023-06-30,,,,,,,,,,
055454,2,True,2021-04-09,2021-11-01,,,,,,,,,,
055457,2,True,2020-05-06,2023-06-30,,,,,,,,,,
055464,2,True,2021-01-01,2021-09-01,,,,,,,,,,
055466,1,True,2019-09-24,,,,,,,,,,,
055475,2,True,2019-01-01,2023-04-17,,,,,,,,,,
055480,1,True,2024-04-01,,,,,,,,,,,
055481,1,True,2023-01-01,,,,,,,,,,,
055488,5,True,2017-01-15,2018-07-27,2021-11-05,2023-06-30,2024-04-15,,,,,,,
055489,1,True,2022-03-01,,,,,,,,,,,
055491,1,True,2019-03-20,,,,,,,,,,,
055493,6,True,2017-01-15,2018-07-27,2019-10-01,2021-11-05,2023-06-30,2024-04-15,,,,,,
055494,1,True,2018-07-27,,,,,,,,,,,
055497,7,True,2017-01-15,2018-07-27,2018-08-15,2019-12-20,2021-11-05,2023-06-30,2024-04-15,,,,,
055499,3,True,2017-01-15,2018-07-27,2021-10-01,,,,,,,,,
055508,1,True,2023-06-01,,,,,,,,,,,
055510,1,True,2017-01-01,,,,,,,,,,,
055512,5,True,2017-01-15,2018-07-27,2021-11-05,2023-06-30,2024-04-15,,,,,,,
055519,1,True,2019-01-28,,,,,,,,,,,
055523,2,True,2017-04-18,2020-12-31,,,,,,,,,,
055526,1,True,2019-02-06,,,,,,,,,,,
055531,1,True,2019-10-01,,,,,,,,,,,
055534,1,True,2020-04-21,,,,,,,,,,,
055538,1,True,2020-12-27,,,,,,,,,,,
055540,1,True,2019-02-06,,,,,,,,,,,
055544,1,True,2019-02-13,,,,,,,,,,,
055551,3,True,2020-12-31,2023-06-30,2024-04-15,,,,,,,,,
055557,1,True,2021-01-05,,,,,,,,,,,
055559,2,True,2020-02-01,2024-06-01,,,,,,,,,,
055562,1,True,2019-10-01,,,,,,,,,,,
055563,1,True,2019-12-01,,,,,,,,,,,
055565,3,True,2020-12-31,2023-06-30,2024-04-15,,,,,,,,,
055566,4,True,2018-08-01,2021-12-01,2022-01-01,2023-01-01,,,,,,,,
055570,1,True,2019-01-15,,,,,,,,,,,
055571,2,True,2021-12-01,2023-01-01,,,,,,,,,,
055573,3,True,2019-04-01,2020-02-01,2024-03-01,,,,,,,,,
055575,1,True,2017-09-28,,,,,,,,,,,
055581,3,True,2020-12-31,2023-06-30,2024-04-15,,,,,,,,,
055585,1,True,2023-06-30,,,,,,,,,,,
055601,2,True,2018-01-01,2023-02-01,,,,,,,,,,
055604,6,True,2017-01-15,2018-07-27,2019-12-20,2021-11-05,2023-06-30,2024-04-15,,,,,,
055608,5,True,2017-01-15,2018-07-27,2021-11-05,2023-06-30,2024-04-15,,,,,,,
055612,1,True,2022-03-01,,,,,,,,,,,
055617,1,True,2017-06-01,,,,,,,,,,,
055619,3,True,2020-12-31,2023-06-30,2024-04-15,,,,,,,,,
055622,1,True,2022-08-16,,,,,,,,,,,
055626,1,True,2018-02-01,,,,,,,,,,,
055640,1,True,2021-02-19,,,,,,,,,,,
055649,1,True,2020-10-09,,,,,,,,,,,
055653,1,True,2023-03-24,,,,,,,,,,,
055670,1,True,2023-06-30,,,,,,,,,,,
055689,1,True,2019-01-15,,,,,,,,,,,
055697,6,True,2019-12-26,2020-07-23,2022-08-01,2023-06-30,2024-01-01,2024-04-15,,,,,,
055704,2,True,2023-05-11,2023-06-30,,,,,,,,,,
055707,1,True,2017-01-20,,,,,,,,,,,
055708,2,True,2017-01-01,2022-02-01,,,,,,,,,,
055711,1,True,2018-06-30,,,,,,,,,,,
055719,2,True,2018-08-01,2021-12-01,,,,,,,,,,
055728,1,True,2023-06-01,,,,,,,,,,,
055734,1,True,2017-11-09,,,,,,,,,,,
055735,1,True,2023-06-30,,,,,,,,,,,
055737,1,True,2022-08-16,,,,,,,,,,,
055739,2,True,2018-09-01,2023-01-11,,,,,,,,,,
055742,1,True,2020-11-23,,,,,,,,,,,
055748,5,True,2021-03-01,2021-05-01,2023-03-06,2023-05-01,2023-05-10,,,,,,,
055750,1,True,2019-10-07,,,,,,,,,,,
055753,1,True,2023-06-30,,,,,,,,,,,
055755,2,True,2019-04-01,2024-06-01,,,,,,,,,,
055758,1,True,2022-08-16,,,,,,,,,,,
055760,1,True,2019-01-01,,,,,,,,,,,
055764,1,True,2023-06-30,,,,,,,,,,,
055776,6,True,2017-01-15,2018-07-27,2019-10-01,2021-11-05,2023-06-30,2024-04-15,,,,,,
055798,6,True,2017-01-15,2018-07-27,2019-10-01,2021-11-05,2023-06-30,2024-04-15,,,,,,
055799,2,True,2021-04-09,2022-12-01,,,,,,,,,,
055806,5,True,2017-01-15,2018-07-27,2021-11-05,2023-06-30,2024-04-15,,,,,,,
055816,3,True,2021-12-01,2022-01-01,2023-01-01,,,,,,,,,
055817,1,True,2020-12-31,,,,,,,,,,,
055826,1,True,2021-08-16,,,,,,,,,,,
055830,1,True,2019-01-15,,,,,,,,,,,
